line1,line2,line3,key
RICHARD RIDDELL 60 00,"X 325,692 0 44,815",VP & UNIVERSITY SECRETARY 0 00,richard
TALLMAN TRASK III 60 00,"X 620,774 0 74,294",EXECUTIVE VICE PRESIDENT 20 00,tallman
NANCY CATHERINE ANDREWS 40 00,"X 742,900 0 82,236",VICE CHAN OF ACADEMIC AFFAIRS 5 00,nancy
WILLIAM BOULDING 75 00,"X 497,265 0 45,667","DEAN, FUQUA SCHOOL OF BUSINESS 2 00",william
"DEAN, FUQUA SCHOOL OF BUSINESS 2 00",ROBERT M CALIFF MD 40 00,"X 513,548 0 46,600",fuqua
ROBERT M CALIFF MD 40 00,"X 513,548 0 46,600",VICE CHAN FOR CLINICAL RESEARCH 1 00,robert
JAM ES SCOTI' GIBSON 60 00,"X 553,885 0 52,947","EXEC VICE DEAN OF ADMIN, SOM 2 00",gibson
"EXEC VICE DEAN OF ADMIN, SOM 2 00",ALICE GOULD 40 00,"X 979,712 0 112,166",som
ALICE GOULD 40 00,"X 979,712 0 112,166",INVESTMENT MANAGER 0 00,alice
ANDERS HALL 40 00,"X 829,201 0 40,225",INVESTMENT MANAGER 0 00,anders
JOHN J NOONAN 50 00,"X 296,003 0 85,274",ASSOCIATE VP OF FACILITIES 0 00,john
ERIC PETERSON 80 00,"X 437,989 0 61,002","DIRECTOR, DCRI 10 00",eric
JAMES S ROBERTS 38 00,"X 333,284 0 38,503",EXEC VICE—PROVOST FIN & ADMIN 2 00,james
NEAL TRIPLETT 40 00,"x 2,577,433 0 296,792",CHIEF INVESTMENT OFFICER 20 00,neal
DAVID N CUTCLIFFE 40 00,"x 1,992,685 0 50,919",COACH 0 00,david
MICHAEL B KASTAN 40 00,"X 903,712 0 43,999","EXEC DIRECTOR, CANCER INSTITUTE 0 00",michael
"EXEC DIRECTOR, CANCER INSTITUTE 0 00",MICHAELW KRZYZEWSKI 40 00,"x 6,020,977 0 1,271,449",cancer
JOANNE MCCALLIE 40 00,"X 943,268 0 52,476",COACH 0 00,joanne
KEVIN M WHITE 40 00,"X 896,100 0 51,054",VP & DIRECTOR OF ATHLETICS 0 00,kevin
ALVIN L CRUMBLISS 40 00,"X 205,097 0 34,111",FORMER KEY EMPLOYEE 0 00,alvin
