line1,line2,line3,key
Scott R Pilarz SJ 1 0,X,Trustee 0 0,scott
Michael R Qumlan 1 0,X,"Chairman Emeritus, Trustee 0 0",michael
Richard L Rodriguez 1 0,"x 9,000",Trustee 0 0,richard
John G Schreiber 1 0,X,Trustee 0 0,john
Judith A Scully 1 0,X,Trustee 0 0,judith
Michael D Searle 1 0,X,Trustee 0 0,michael
NiranJan S Shah 1 0,X,Trustee 0 0,shah
Smita N Shah 1 0,X,Trustee (re5ig ned June 2014) 0 0,shah
Susan S Sher 1 0,X,Trustee 0 0,susan
Raymond F Simon 1 0,X,Trustee 0 0,raymond
George Andrews Smith 1 0,X,Trustee 0 0,george
Brian K Speers 1 0,X,Trustee 0 0,brian
Stephen P Squmto 1 0,X,Trustee 0 0,stephen
Cynthia Stark 1 0,X,Trustee 0 0,cynthia
Joan E Steel 1 0,X,Trustee 0 0,joan
Jackie Taylor Holsten 1 0,X,Trustee 0 0,jackie
Mary Tolan 1 0,X,Trustee 0 0,mary
Kevm W Wildes SJ 1 0,X,Trustee 0 0,wildes
Mary Ann Zollmann BVM 1 0,X,"Vice Chair of Board, Trustee 0 0",mary
Steven M Bergfeld 40 0,"X 218,008 0 36,631",Sr VP Advancement & Planning 0 0,steven
Pamela G Costas 40 0,"X 206,838 0 28,500",VP General Counsel & Secretary 0 0,pamela
Richard L Gamelli MD 40 0,"X 644,314 0 41,428",SR VP/Provost—Health SCIences 0 0,richard
Philip D Hale 40 0,"X 178,533 0 35,700",VP for Government Affairs 0 0,philip
Jonathan R Heintzelman 40 0,"X 321,472 0 154,654",Sr VP for Advancement 0 0,jonathan
Emilio Iodice 40 0,"X 331,999 0 17,070","VP, Dir John Felice Rome CTR 0 0",emilio
Eric C Jones 40 0,"X 179,921 0 37,767",Treasurer & C10 0 0,eric
Robert D Kelly 40 0,"X 229,413 0 32,042",VP for Student Development 0 0,robert
Thomas M Kelly 40 0,"X 265,640 0 77,639",Sr VP Admin Serwces & CHRO 0 0,thomas
William G Laird 40 0,"X 321,622 0 41,910",Sr VP for Finance & CFO 0 0,william
Wayne MagdZIarz 40 0,"X 298,860 0 39,217",Sr VP for Capital Planning 0 0,wayne
Susan M Malisch 40 0,"X 260,361 0 34,936",VP & Chief Information Officer 0 0,susan
Ellen Kane Munro 40 0,"X 205,480 0 34,371",Sr VP Gen Counsel/Secretary 0 0,ellen
John P Pelissero 40 0,"X 341,656 0 45,098",Provost for LakeSIde Campuses 0 0,john
Kelly Shannon 40 0,"X 189,955 0 46,626",VP Univ Marketing & Comm 0 0,kelly
Linda Brubaker MD 40 0,"X 386,869 0 48,033","Dean, Stritch School of Med 0 0",linda
"Dean, Stritch School of Med 0 0",Kathleen A Getz 40 0,"X 289,450 0 50,137",school
Kathleen A Getz 40 0,"X 289,450 0 50,137","Dean, School of Busmess 0 0",kathleen
"Dean, School of Busmess 0 0",Pieter DeTombe 40 0,"X 321,371 0 84,393",school
Richard Kennedy 40 0,"X 314,761 0 39,742",Vice Provost for Research 0 0,richard
Porter A Moser 40 0,"X 351,852 0 46,772",Head Basketball Coach 0 0,porter
Michael I Nishimura 40 0,"X 314,421 0 34,751",Professor Dept of Surgery 0 0,michael
DaVId N Yellen 40 0,"X 403,670 0 70,548","Dean, School of Law 0 0",david
"Dean, School of Law 0 0",Abolhassan Jalilvand 40 0,"X 217,841 0 43,707",school
Hands C Fennell Jr 40 0,"X 137,973 0 32,224",Former Key Employee 0 0,hands
